,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
2573,"Joseph Mark Trohman (born September 1, 1984) is an American musician, songwriter, composer, singer, and record producer. He is best known as the lead guitar pla",3242860834,InfinityOn_Joe,3046,@Onision you should roast the fine brothers for all this 'copyrighting' react videos. Theres even a live sub count https://t.co/imxV6snFyE,Sat May 09 02:08:46 +0000 2015,False,694305937763495936,1552,Angel,12800,3046,15657,0,5,Mon Feb 01 23:46:49 +0000 2016
2574,"Uncle to 4, can't live without music, films are my life, wrestling is my guilty pleasure, Marvel fan and cannot resist anything to do with The Hunger Games",268526187,BJamesChandler,594,"LOL The Fine Brothers are now under 14 million subscribers, their money and hard work is slowly fading away.",Fri Mar 18 23:37:18 +0000 2011,False,694305842112417793,149,London,4374,594,3186,0,5,Mon Feb 01 23:46:26 +0000 2016
2575,"handsome guy who plays games for all of you lovely people. 
 
psn: thechrisullrich 
xbox gt: thechrisullrich https://t.co/zQCHJH67Ns",39148348,thechrisullrich,886,Fine brothers trying to copyright react opinion: https://t.co/3xDN1heMHz via @YouTube,Mon May 11 00:42:49 +0000 2009,False,694305778438643716,169,Hudson New York,1432,886,11,0,1,Mon Feb 01 23:46:11 +0000 2016
2576,when im dead just throw me in the trash,2784716033,Seinfelds_List,183,Fine brothers? More like not fine brothers? Boom. Roasted,Fri Sep 26 01:07:36 +0000 2014,False,694305754325598210,251,nj aka hell,17230,183,14178,0,7,Mon Feb 01 23:46:06 +0000 2016
2577,I'm a gooey boy!,28489239,natekushner,412,"What do I think of those brothers who do react videos? Meh, they're Fine.",Fri Apr 03 03:11:47 +0000 2009,False,694305728371228672,458,Brooklyn,3524,412,1585,0,20,Mon Feb 01 23:45:59 +0000 2016
2578,,107810378,TheUchihaSage,559,BBC News - Fine Brothers spark fury with YouTube trademark attempt https://t.co/s9e1qSJPYV,Sat Jan 23 20:37:55 +0000 2010,False,694305676030525444,33,,833,559,323,0,0,Mon Feb 01 23:45:47 +0000 2016
2579,,614324236,PatrickFisk,145,RAPPER REACTS TO THE FINE BROTHERS | Dan Bull https://t.co/WiuIo6eoTX via @YouTube,Thu Jun 21 13:35:40 +0000 2012,False,694305643986079752,45,,4736,145,76,0,33,Mon Feb 01 23:45:39 +0000 2016
2580,VainGlory IGN:FearAI Sup Main wattpad:AleuzEu YouTube:Aleuzia Iravi LobiPlay:KFirebore23 SEAvainglory:SEAleuzia[One of the best NA supports] I can ASC anyone!!,2448068509,KFirebore23,723,"Noble Reacts to Fine Brothers ""Reaction"" Trademark F*CK UP https://t.co/023XRyK6ZG",Wed Apr 16 21:21:31 +0000 2014,False,694305639665786880,388,World Core,1229,723,119,0,2,Mon Feb 01 23:45:38 +0000 2016
2581,Instagram: xxjaneexx,66605745,xXJannneXx,130,"@TheEllenShow Hi Ellen, was wondering what are your thoughts on The Fine Brothers and their whole 'React World' concept?",Tue Aug 18 05:26:34 +0000 2009,False,694305548821397504,38,Singapore,1959,130,279,0,2,Mon Feb 01 23:45:17 +0000 2016
2582,Suspended chords are psychedelic.,17610925,NBWmusic,261,"Well, the @thefinebros aren't doing so fine, are they?",Tue Nov 25 03:37:25 +0000 2008,False,694305536074981378,282,"Nashville, TN",1512,261,74,0,15,Mon Feb 01 23:45:14 +0000 2016
