,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
0,"I write things to sell stuff, and to tell people how to sell stuff. Into history, science, booze, music, dirty jokes and booze.",309542018,SublightMonster,488,"Yo, Fine Brothers: this Alan Funt dude has been stealing your act. Go sic your followers on him.",Thu Jun 02 08:04:14 +0000 2011,False,695395686469099520,451,Tokyo,12421,488,3547,0,17,Thu Feb 04 23:57:06 +0000 2016
1,gosh darn,2688141336,ednitos,268,RT @ImColtonCurtis: *This tweet has been removed due to a trademark infringement registered to Fine Brothers Entertainment*,Mon Jul 28 19:13:13 +0000 2014,False,695395685739331584,139,,702,268,737,52,0,Thu Feb 04 23:57:05 +0000 2016
2,"Senior at KSU. MTG player, vice president of the TTRPG on campus. Integrated Language Arts. Pessimist. My life for Aiur.",427687843,CoolStoryBroMan,266,"The whole issue with the Fine Brothers is an example of old media trying to budge into new media, its not gonna work. internet to stronk",Sat Dec 03 21:05:01 +0000 2011,False,695395482055548929,98,Ohio,3494,266,2362,0,2,Thu Feb 04 23:56:17 +0000 2016
3,"Musician, Tech Enthusiast, Police Supporter, Proud #HootOwl and #Royalist",2366109390,Foxtrot4978,1105,"I added a video to a @YouTube playlist https://t.co/f6hyxv5F2C Fine Brothers ""React World"" Response Part One.",Fri Feb 28 21:25:56 +0000 2014,False,695394437719953408,479,Milwaukee USA / 414,22148,1105,8004,0,18,Thu Feb 04 23:52:08 +0000 2016
4,"Musician, Tech Enthusiast, Police Supporter, Proud #HootOwl and #Royalist",2366109390,Foxtrot4978,1105,"I liked a @YouTube video from @steviecyb https://t.co/f6hyxv5F2C Fine Brothers ""React World"" Response Part One.",Fri Feb 28 21:25:56 +0000 2014,False,695394413980192769,479,Milwaukee USA / 414,22148,1105,8004,0,18,Thu Feb 04 23:52:02 +0000 2016
5,YouTuber • Future Streamer • Leader/Founder @AcEClan || PS4 || BO3 || @blackwolf506 ☺ || Future Police Officer,973231014,Maria_emili2014,571,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Tue Nov 27 04:21:40 +0000 2012,False,695394240965144577,2874,twitch.tv/AcE_Silverfox,8656,571,1432,3443,2,Thu Feb 04 23:51:21 +0000 2016
6,"Pᘳᐃ, Based, Agnostic Atheist, Metahuman, Scifi Fan, Gamer, Geek, 'Murika Fuck Yeah!!!, Pronouns (Me, Myself, I), SJW Killjoy, Reaper Crew    (◣_◢)",17886742,PhoenixCE,1574,"Well, The Fine Bros are still in free fall. https://t.co/84Rq0vioDu",Fri Dec 05 01:58:04 +0000 2008,False,695394006713241600,1965,The Burning Hells,44741,1574,14044,0,48,Thu Feb 04 23:50:25 +0000 2016
7,"All I want is for the world to be a better place for everyone to live in. 
If you need help, I'm here for you.",2202499849,FemmePhoenixVO,466,"@S0LV0 It's the Fine Brothers, of course they're disingenuous. They're literally only concerned about money, and they're losing it fast.",Tue Nov 19 04:48:42 +0000 2013,False,695393754132295680,113,Gem City,25163,466,10894,0,7,Thu Feb 04 23:49:25 +0000 2016
8,Tokyo based YouTuber & bilingual news geek  東京在住外国人ブロガーです♪ https://t.co/tWEI7n3zaK  http://t.co/Pl2OYGDkD9,36619322,hikosaemon,6564,RT @amandasekine: “The Fine Brothers Controversy Explained” by @hankgreen https://t.co/x1VDNYQHkC,Thu Apr 30 07:42:17 +0000 2009,False,695393749304672256,8654,Tokyo,52892,6564,5619,3,381,Thu Feb 04 23:49:24 +0000 2016
9,Just a North Florida teen ready to see the world✌️,2675919901,Naturaskye,415,RT @zacdeck: imagine an alternate universe where the fine brothers actually got the trademark and took over https://t.co/4ZgsbnraMx,Thu Jul 24 05:33:41 +0000 2014,False,695393683881873408,235,Dream&Inspire,19291,415,53979,30,6,Thu Feb 04 23:49:08 +0000 2016
10,just try to be human... or not ..,327541302,WigginAndrew,869,The Fine Brothers are apologizing to their fans and have stopped a recent project they just announced. The... https://t.co/QnS0EjrC1J,Fri Jul 01 18:49:54 +0000 2011,False,695393460702982145,28499,,166009,869,4777,0,283,Thu Feb 04 23:48:15 +0000 2016
11,,2342526692,AllSuperInfo,368,The Fine Brothers Apologize To Their Fans https://t.co/vsIvcKBl2a&lt;/p&gt; https://t.co/JgUHbetv1p,Thu Feb 13 20:15:42 +0000 2014,False,695393453006393344,22372,,34415,368,6053,0,118,Thu Feb 04 23:48:13 +0000 2016
12,Former VC rug-rat. Still in love with startup land.,3140973039,davidnnam,235,"A new perspective on challenges of YouTube creators. The same old perspective on internet mobs.
https://t.co/yYS8dQ4Ofn by @hankgreen",Mon Apr 06 16:49:41 +0000 2015,False,695393285540442112,91,,271,235,310,0,14,Thu Feb 04 23:47:33 +0000 2016
13,| 13 | | Gamer | | Youtuber | Youtube: Jixel Gamez | | Facebook: Jacob Faura | | Instagram: Jixel Gamez | Twitch: Sergio7295 |,2292718359,JixelGamez,871,"Please read this 👇

“A message from the Fine Brothers” by Fine Brothers Ent. https://t.co/46q7DmN0Yt",Mon Jan 20 01:31:22 +0000 2014,False,695393118862966785,327,"Miami, FL",453,871,12745,0,0,Thu Feb 04 23:46:53 +0000 2016
14,"CEO of Nymblsoft, Nymdx and Nitai Partners",109327165,AdityaSatsangi,154,RT @mashable: Here's the Fine Brothers 'React World' scandal in a nutshell https://t.co/4iF7Wdsy9f https://t.co/62DoBzLvY0,Thu Jan 28 17:59:17 +0000 2010,False,695392856358322180,313,"San Diego, CA ",4942,154,784,19,140,Thu Feb 04 23:45:51 +0000 2016
15,gaming news,20002738,PCGiA,3016,"Reaction to The Fine Brothers and Peter Molyneux Retirement: The Overwatch beta comes back February 9, ... https://t.co/bd0O9D6sCv #PCGiA",Tue Feb 03 20:49:52 +0000 2009,False,695392253276061696,4336,Canada,121903,3016,22,0,222,Thu Feb 04 23:43:27 +0000 2016
16,i don't even know,1676195046,AafFlaaffy,32,"RT @MunifiS: The Fine Brothers apologized, hoping to get some subscribers back https://t.co/BBUNeNvdUX",Fri Aug 16 17:18:42 +0000 2013,False,695392007523405824,2,play.pokemonshowdown.com,157,32,265,778,0,Thu Feb 04 23:42:29 +0000 2016
